ORG,CITY,COUNTRY,label
Conservatoire royal de musique de Liège,Liège,Belgium,Royal Conservatory of Liège {https://ror.org/01zb1m871}
Cours de promotion sociale d'Uccle,Uccle,Belgium,
Cours industriels,Brussels,Belgium,
Ecole industrielle et commerciale d'Arlon,Arlon,Belgium,
Ecole nationale supérieure des Arts visuels de La Cambre,Brussels,Belgium,La Cambre {https://ror.org/00y3r0391}
Ecole supérieure des Arts - École de Recherche graphique,Brussels,Belgium,École de Recherche Graphique {https://ror.org/03ba15j53}
Ecole supérieure des Arts de l'Image LE 75,Brussels,Belgium,École Supérieure des Arts de l'Image Le 75 {https://ror.org/05ez1q344}
Ecole supérieure des Arts du Cirque,Anderlecht,Belgium,Superior School of Circus Arts {https://ror.org/03khyar38}
Ecole supérieure des Arts Saint-Luc de Liège,Liège,Belgium,École Supérieure des Arts Saint-Luc de Liège {https://ror.org/02zwsc421}
Enseignement de Promotion et de Formation continue EPFC 1,Saint-Josse-ten-Noode,Belgium,
Enseignement de Promotion et de Formation continue EPFC 3,Saint-Josse-ten-Noode,Belgium,
Erasmushogeschool Brussel,Anderlecht,Belgium,Erasmus University College Brussels {https://ror.org/01767d733}
Etablissement d'Enseignement pour Adultes et de Formation Continue Sud-Luxembourg,Arlon,Belgium,
Haute Ecole Albert Jacquard,Namur,Belgium,Haute École Albert Jacquard {https://ror.org/00zx7z876}
Haute Ecole Charlemagne,Liège,Belgium,Haute École Charlemagne {https://ror.org/03er55z68}
Haute Ecole de Bruxelles,Brussels,Belgium,Haute École de Bruxelles {https://ror.org/040nxjw81}
Haute Ecole de la Communauté française en Hainaut,Mons,Belgium,Haute École en Hainaut {https://ror.org/007cpvh39}
Haute Ecole de la Province de Liège,Jemeppe-sur-Sambre,Belgium,Haute École de la Province de Liège {https://ror.org/03kmar131}
Haute Ecole de la Ville de Liège,Liège,Belgium,Haute École de la Ville de Liège {https://ror.org/03y37ca41}
Haute Ecole Galilée,Brussels,Belgium,Haute École Galilée {https://ror.org/028rd3808}
Haute Ecole ICHEC - ECAM - ISFSC,Brussels,Belgium,Brussels Management School {https://ror.org/01kdhhd16}
Haute Ecole Léonard de Vinci,Woluwe-Saint-Lambert,Belgium,Haute École Léonard de Vinci {https://ror.org/04vmtqg68}
Haute Ecole Libre de Bruxelles Ilya Prigogine,Brussels,Belgium,Haute École Libre de Bruxelles Ilya Prigogine {https://ror.org/02k7e9603}
Haute Ecole Libre Mosane,Liège,Belgium,Haute École Libre Mosane {https://ror.org/052x1x555}
Haute Ecole Louvain en Hainaut,Mons,Belgium,Haute École Louvain en Hainaut {https://ror.org/03sfp2d76}
Haute Ecole Lucia de Brouckère,Anderlecht,Belgium,Higher Education Institution Lucia de Brouckère {https://ror.org/00cm6et23}
Haute Ecole Paul-Henri Spaak,Ixelles,Belgium,
Haute Ecole Provinciale du Hainaut - Condorcet,Mons,Belgium,Haute École Provinciale de Hainaut Condorcet {https://ror.org/02a22tx41}
Institut d'enseignement de promotion sociale de la Communauté française de Libramont,Libramont-Chevigny,Belgium,
Institut d'enseignement de promotion sociale de la Communauté française de Morlanwelz,Morlanwelz,Belgium,
Institut national supérieur des Arts du Spectacle et des Techniques de Diffusion,Brussels,Belgium,Institut National Supérieur des Arts du Spectacle et des Techniques de Diffusion {https://ror.org/0578r5v59}
Institut supérieur de Musique et de Pédagogie,Namur,Belgium,Institut Supérieur de Musique et de Pédagogie {https://ror.org/01hr7tp17}
Institut supérieur Plus Oultre,Binche,Belgium,
Institut technique et agricole de la Province du Hainaut,Soignies,Belgium,
Karel de Grote-Hogeschool - Katholieke Hogeschool Antwerpen,Antwerp,Belgium,Karel de Grote University College {https://ror.org/05acs9g96}
Katholieke Hogeschool Leuven,Leuven,Belgium,
Université catholique de Louvain,Louvain-La-Neuve,Belgium,Université Catholique de Louvain {https://ror.org/02495e989}
Université de Liège,Liège,Belgium,University of Liège {https://ror.org/00afp2z80}
Université de Mons,Mons,Belgium,University of Mons {https://ror.org/02qnnz951}
Université de Namur,Namur,Belgium,University of Namur {https://ror.org/03d1maw17}
Université du Travail - Institut d'enseignement technique commercial,Charleroi,Belgium,Université du Travail Paul Pastur {https://ror.org/0114pns79}
Висше училище по мениджмънт,Dobrich,Bulgaria,Varna University of Management {https://ror.org/01xaxtt28}
Висше училище по сигурност и икономика,Plovdiv,Bulgaria,University of Security and Economics {https://ror.org/03athrm05}
Лесотехнически университет,Sofia,Bulgaria,University of Forestry {https://ror.org/033t8gt11}
Медицински университет - Плевен,Pleven,Bulgaria,Medical University Pleven {https://ror.org/049ztct72}
"Софийски университет ""Св. Климент Охридски""",Sofia,Bulgaria,Sofia University {https://ror.org/02jv3k292}
Технически университет - Варна,Varna,Bulgaria,Technical University of Varna {https://ror.org/03zrwm897}
Технически университет - Габрово,Gabrovo,Bulgaria,Technical University of Gabrovo {https://ror.org/028d5by70}
Университет по библиотекознание и информационни технологии,Sofia,Bulgaria,University of Library Studies and Information Technologies {https://ror.org/001nkz398}
Университетът по хранителни технологии,Plovdiv,Bulgaria,University of Food Technologies {https://ror.org/0014fb593}
Libertas Međunarodno Sveučilište,Zagreb,Croatia,Dubrovnik International University {https://ror.org/03wz5pw26}
RIT Croatia,Dubrovnik,Croatia,Rochester Institute of Technology Croatia {https://ror.org/03jgxzm03}
Sveučilište Jurja Dobrile u Puli,Pula,Croatia,Juraj Dobrila University of Pula {https://ror.org/006ks2460}
Sveučilište Sjever,Koprivnica,Croatia,University North {https://ror.org/01afbkc02}
Sveučilište u Zadru,Zadar,Croatia,University of Zadar {https://ror.org/00t89vb53}
Sveučilište u Zagrebu,Zagreb,Croatia,University of Zagreb {https://ror.org/00mv6sv71}
Veleučilište u Šibeniku,Šibenik,Croatia,Polytechnics of Šibenik {https://ror.org/04sv2e820}
Veleučilište Velika Gorica,Velika Gorica,Croatia,Veleučilište Velika Gorica {https://ror.org/035ghve61}
"Veleučilište VERN`, Zagreb",Zagreb,Croatia,Vern University of Applied Sciences {https://ror.org/00mff5m03}
Visoka tehnicka škola u Bjelovaru,Bjelovar,Croatia,
Ανοικτό Πανεπιστήμιο Κύπρου,Latsia,Cyprus,Open University of Cyprus {https://ror.org/033sm2k57}
Πανεπιστήμιο Frederick,Nicosia,Cyprus,Frederick University {https://ror.org/05d8tf882}
"B.I.B.S., a.s.",Brno,Czech Republic,Brno International Business School {https://ror.org/03mv3zz84}
Česká zemědělská univerzita v Praze,Prague,Czech Republic,Czech University of Life Sciences Prague {https://ror.org/0415vcw02}
"CEVRO Institut, o.p.s.",Prague,Czech Republic,CEVRO Institute {https://ror.org/01pg7ze09}
"Filmová akademi Miroslava Ondříčka v Písku, o.p.s.",Písek,Czech Republic,Film Academy of Miroslav Ondříček {https://ror.org/00jdhb158}
Masarykova univerzita,Brno,Czech Republic,Masaryk University {https://ror.org/02j46qs45}
Mendelova univerzita v Brně,Brno,Czech Republic,Mendel University in Brno {https://ror.org/058aeep47}
Ostravská univerzita,Ostrava,Czech Republic,University of Ostrava {https://ror.org/00pyqav47}
Univerzita Hradec Králové,Hradec Králové,Czech Republic,University of Hradec Králové {https://ror.org/05k238v14}
"Vysoká škola finanční a správní, o.p.s.",Prague,Czech Republic,University of Finance and Administration {https://ror.org/020ydms54}
Aalborg Universitet,Aalborg,Denmark,Aalborg University {https://ror.org/04m5j1k67}
Aarhus Universitet,Aarhus,Denmark,Aarhus University {https://ror.org/01aj84f44}
Danmarks Tekniske Universitet,Lyngby,Denmark,Technical University of Denmark {https://ror.org/04qtj9h94}
Den Frie Lærerskole,Vester Skerninge,Denmark,
Designskolen Kolding,Kolding,Denmark,Design School Kolding {https://ror.org/00a736592}
Det Jyske Musikkonservatorium,Aarhus,Denmark,Royal Academy of Music {https://ror.org/01jvdtb95}
Det Kgl. Danske Musikkonservatorium,Frederiksberg,Denmark,Royal Danish Academy of Music {https://ror.org/04np6eb38}
Erhvervsakademi Aarhus,Viby,Denmark,Business Academy Aarhus {https://ror.org/055dvgm08}
Erhvervsakademi Midtvest,Herning,Denmark,Erhvervsakademi MidtVest {https://ror.org/02v5cy890}
Handelshøjskolen i Kobenhavn,Frederiksberg,Denmark,Copenhagen Business School {https://ror.org/04sppb023}
IT-Universitetet i København,Copenhagen,Denmark,IT University of Copenhagen {https://ror.org/02309jg23}
Københavns Erhvervsakademie (KEA),Copenhagen,Denmark,Copenhagen School of Design and Technology {https://ror.org/00j1xwp39}
Københavns Professionshøjskole,Copenhagen,Denmark,University College Copenhagen {https://ror.org/004r9h172}
Københavns Universitet,Copenhagen,Denmark,University of Copenhagen {https://ror.org/035b05819}
Martec - Frederikshavns Maritime uddannelsescenter,Frederikshavn,Denmark,
Professionshøjskolen UCC,Copenhagen,Denmark,University College Copenhagen {https://ror.org/004r9h172}
Professionshøjskolen University College Nordjylland,Hjørring,Denmark,University College of Northern Denmark {https://ror.org/056c4z730}
Roskilde Universitet,Roskilde,Denmark,Roskilde University {https://ror.org/014axpa37}
Rytmisk Musikkonservatorium,Copenhagen,Denmark,Rhythmic Music Conservatory {https://ror.org/059qxqp56}
Syddansk Musikkonservatorium,Odense,Denmark,Danish National Academy of Music {https://ror.org/04zbzhb67}
University College Syddanmark,Esbjerg,Denmark,University College South Denmark {https://ror.org/058q57q63}
VIA University College,Risskov,Denmark,VIA University College {https://ror.org/04ctbxy49}
Eesti Hotelli- ja Turismikõrgkool,Tallinn,Estonia,
Eesti Infotehnoloogia Kolledž,Tallinn,Estonia,Estonian Information Technology College {https://ror.org/040zb1w28}
Eesti Metodisti Kiriku Teoloogiline Seminar,Tallinn,Estonia,Baltic Methodist Theological Seminary {https://ror.org/035dn9148}
Eesti Muusika- ja Teatriakadeemia,Tallinn,Estonia,Estonian Academy of Music and Theatre {https://ror.org/046p0fc17}
Estonian Business School,Tallinn,Estonia,Estonian Business School {https://ror.org/04e67ap71}
Euroakadeemia,Tallinn,Estonia,EuroAcademy {https://ror.org/02hb34304}
Kõrgem Kunstikool Pallas,Tartu,Estonia,Tartu Art College {https://ror.org/03sx66s94}
Lääne-Viru Rakenduskõrgkool,Mõdriku,Estonia,Lääne-Viru College {https://ror.org/01c9ma830}
Tallinna Tehnikaülikool,Tallinn,Estonia,Tallinn University of Technology {https://ror.org/0443cwa12}
Tartu Kõrgem Kunstikool,Tartu,Estonia,Tartu Art College {https://ror.org/03sx66s94}
Tartu Ülikool,Tartu,Estonia,University of Tartu {https://ror.org/03z77qz90}
Aalto-yliopisto,Espoo,Finland,Aalto University {https://ror.org/020hwjq30}
Åbo Akademi,Turku,Finland,Åbo Akademi University {https://ror.org/029pk6x14}
Högskolan på Åland,Maarianhamina - Mariehamn,Finland,Åland University of Applied Sciences {https://ror.org/05mknbx32}
Humanistinen ammattikorkeakoulu,Helsinki,Finland,Humak University of Applied Sciences {https://ror.org/000rak666}
Kajaanin ammattikorkeakoulu,Kajaani,Finland,Kajaani University of Applied Sciences {https://ror.org/02ec8mb70}
Karelia-ammattikorkeakoulu,Joensuu,Finland,Karelia University of Applied Sciences {https://ror.org/00db2vc28}
Lapin yliopisto,Rovaniemi,Finland,University of Lapland {https://ror.org/05jzt8766}
Lappeenrannan-Lahden teknillinen yliopisto LUT,Lappeenranta,Finland,Lappeenranta-Lahti University of Technology {https://ror.org/0208vgz68}
Poliisiammattikorkeakoulu,Tampere,Finland,Police University College {https://ror.org/04wkq2s46}
Tampereen ammattikorkeakoulu,Tampere,Finland,Tampere University of Applied Sciences {https://ror.org/00bwtjf83}
Tampereen teknillinen yliopisto,Tampere,Finland,Tampere University of Technology {https://ror.org/02ba3pt07}
Yrkeshögskolan Arcada,Helsinki,Finland,Arcada University of Applied Sciences {https://ror.org/02s466x84}
Yrkeshögskolan Novia,Vaasa,Finland,Novia University of Applied Sciences {https://ror.org/05e08rb26}
Aix-Marseille université,Marseille,France,Aix-Marseille University {https://ror.org/035xkbk20}
Brest Business School,Brest,France,
Centrale Lille Institut,Villeneuve-d'Ascq,France,École Centrale de Lille {https://ror.org/01x441g73}
CentraleSupélec,Gif-sur-Yvette,France,CentraleSupélec {https://ror.org/019tcpt25}
Centre Universitaire de Mayotte,Dembéni,France,
Collège de France,Paris,France,Collège de France {https://ror.org/04ex24z53}
Comue Université Bourgogne Franche-Comté,Besançon,France,Université Bourgogne Franche-Comté {https://ror.org/02dn7x778}
Conservatoire national des arts et métiers,Paris,France,Conservatoire National des Arts et Métiers {https://ror.org/0175hh227}
Conservatoire national supérieur de musique et de danse de Paris,Paris,France,Paris Conservatory {https://ror.org/030h5jp79}
ECAM - EPMI Graduate School of Engineering,Cergy,France,ECAM-EPMI {https://ror.org/05bdngh08}
École centrale de Lyon,Écully,France,École Centrale de Lyon {https://ror.org/05s6rge65}
École centrale de Marseille,Marseille,France,Centrale Marseille {https://ror.org/040baw385}
Ecole centrale de Nantes,Nantes,France,École Centrale de Nantes {https://ror.org/03nh7d505}
École de l'air,Salon-de-Provence,France,École de l'Air {https://ror.org/01gtsrs29}
École de Management Léonard de Vinci,Paris,France,
École européenne supérieure de l'image,Angoulême,France,École Européenne Supérieure de l'Image {https://ror.org/01dn7gg32}
Ecole nationale des finances publiques,Noisy-le-Grand,France,
École nationale des greffes,Dijon,France,École Nationale des Greffes {https://ror.org/01pcs0h38}
École nationale supérieure d'architecture de Bretagne,Rennes,France,École Nationale Supérieure d'Architecture de Bretagne {https://ror.org/04eghjs57}
École nationale supérieure des beaux-arts,Paris,France,École Nationale Supérieure des Beaux-Arts {https://ror.org/01cdn3r29}
École nationale supérieure des mines d'Albi-Carmaux,Albi,France,IMT Mines Albi {https://ror.org/00bq8vv83}
École nationale supérieure des mines de Douai,Douai,France,École des Mines de Douai {https://ror.org/05ate2e14}
École nationale supérieure des mines de Paris,Paris,France,Mines Paris - PSL {https://ror.org/04y8cs423}
Ecole nationale supérieure des télécommunications,Paris,France,Télécom Paris {https://ror.org/01naq7912}
École nationale supérieure du pétrole et des moteurs,Rueil-Malmaison,France,IFP Énergies nouvelles {https://ror.org/03gcbhc33}
École nationale supérieure maritime,Le Havre,France,National Maritime College of France {https://ror.org/043qd1272}
École Navale,Lanvéoc,France,École Navale {https://ror.org/030txnd05}
École supérieure d'ingénieurs des travaux de la construction de Metz,Metz,France,École Supérieure d'Ingénieurs des Travaux de la Construction de Metz {https://ror.org/00s13q694}
École Supérieure d'Ingénieurs en Électronique et Électrotechnique Amiens,Amiens,France,UniLaSalle Amiens (ESIEE-Amiens) {https://ror.org/03r13py57}
École supérieure de physique et de chimie industrielles de la ville de Paris,Paris,France,ESPCI Paris {https://ror.org/03zx86w41}
ESCP Europe,Paris,France,ESCP Business School {https://ror.org/040hhjv66}
ESME Sudria,Ivry-sur-Seine,France,ESME - École d’ingénieurs pluridisciplinaires {https://ror.org/00nf3nv81}
Grenoble INP,Grenoble,France,Grenoble Institute of Technology {https://ror.org/05sbt2524}
Institut d'Optique Graduate School,Palaiseau,France,Institut d’Optique Graduate School {https://ror.org/00d0rke27}
Institut de physique du globe,Paris,France,Institut de physique du globe de Paris {https://ror.org/004gzqz66}
Institut national polytechnique de Toulouse,Toulouse,France,National Polytechnic Institute of Toulouse {https://ror.org/033p9g875}
"Institut national supérieur des sciences agronomiques, de l'alimentation et de l'environnement",Dijon,France,L'Institut Agro Dijon {https://ror.org/03zek0r74}
Télécom ParisTech,Paris,France,Télécom Paris {https://ror.org/01naq7912}
Telecom Saint-Étienne,Saint-Étienne,France,
Université de Bretagne Occidentale,Brest,France,Université de Bretagne Occidentale {https://ror.org/01b8h3982}
Université de Bretagne-Sud,Lorient,France,University of Southern Brittany {https://ror.org/04ed7fw48}
Université de Caen Basse-Normandie,Caen,France,Université de Caen Normandie {https://ror.org/051kpcy16}
Université de Grenoble,Saint-Martin-d'Hères,France,Université Grenoble Alpes {https://ror.org/02rx3b187}
Université de Grenoble Alpes,Grenoble,France,Université Grenoble Alpes {https://ror.org/02rx3b187}
Université de Guyane,Cayenne,France,University of French Guiana {https://ror.org/00nb39k71}
Université de Haute-Alsace,Mulhouse,France,University of Upper Alsace {https://ror.org/04k8k6n84}
Université de la Polynésie Française,Punaauia,France,University of French Polynesia {https://ror.org/03ay59x86}
Université de Lille,Lille,France,University of Lille {https://ror.org/02kzqn938}
Université de Perpignan - Via Domitia,Perpignan,France,University of Perpignan {https://ror.org/03am2jy38}
Université de Poitiers,Poitiers,France,University of Poitiers {https://ror.org/04xhy8q59}
Université de recherche Paris sciences et lettres,Paris,France,Université Paris Sciences et Lettres {https://ror.org/013cjyk83}
Université de Reims Champagne-Ardenne,Reims,France,University of Reims Champagne-Ardenne {https://ror.org/03hypw319}
Université de Savoie Mont Blanc,Chambéry,France,Université Savoie Mont Blanc {https://ror.org/04gqg1a07}
Université de technologie de Belfort-Montbéliard,Sevenans,France,University of Technology of Belfort-Montbéliard {https://ror.org/05bn3m307}
Université de Tours,Tours,France,Université de Tours {https://ror.org/02wwzvj46}
Université de Versailles Saint-Quentin-en-Yvelines,Versailles,France,Université de Versailles Saint-Quentin-en-Yvelines {https://ror.org/03mkjjy25}
Université du Havre,Le Havre,France,University of Le Havre {https://ror.org/05v509s40}
Université du Maine,Le Mans,France,Le Mans Université {https://ror.org/01mtcc283}
Université Montpellier 1,Montpellier,France,University of Montpellier 1 {https://ror.org/0227fbx80}
Université Montpellier 2 - Sciences et Techniques,Montpellier,France,University of Montpellier 2 {https://ror.org/00wh4bp03}
Université Montpellier 3 - Paul-Valéry,Montpellier,France,Université Paul-Valéry Montpellier {https://ror.org/00qhdy563}
Université Nice - Sophia-Antipolis,Nice,France,Nice Sophia Antipolis University {https://ror.org/02k9vew78}
Université Paris 13 - Paris Nord,Villetaneuse,France,Université Sorbonne Paris Nord {https://ror.org/0199hds37}
Université Paris 8 - Vincennes - Saint-Denis,Saint-Denis,France,Paris 8 University {https://ror.org/04wez5e68}
Université Paris Cité,Paris,France,Université Paris Cité {https://ror.org/05f82e368}
Université Paris Descartes,Paris,France,Paris Descartes University {https://ror.org/0220k9r37}
Université Paris Diderot,Paris,France,Paris Diderot University {https://ror.org/02n7qrg46}
Université Paris Nanterre,Nanterre,France,Université Paris Nanterre {https://ror.org/013bkhk48}
Université Paris Ouest Nanterre La Défense,Nanterre,France,Université Paris Nanterre {https://ror.org/013bkhk48}
Université Paris sciences et lettres,Paris,France,Université Paris Sciences et Lettres {https://ror.org/013cjyk83}
Université Paris-Dauphine,Paris,France,Université Paris Dauphine-PSL {https://ror.org/052bz7812}
Université Paris-Est,Champs-sur-Marne,France,University of Paris-Est {https://ror.org/0268ecp52}
Université Paris-Est Créteil Val-de-Marne,Créteil,France,Université Paris-Est Créteil {https://ror.org/05ggc9x40}
Université Paris-Est Marne-la-Vallée,Champs-sur-Marne,France,University of Marne la Vallée {https://ror.org/02aqt9c37}
Université Paris-saclay,Gif-sur-Yvette,France,University of Paris-Saclay {https://ror.org/03xjwb503}
Université Paris-Sorbonne,Paris,France,Sorbonne Université {https://ror.org/02en5vm52}
Université Paris-Sud,Orsay,France,University of Paris-Sud {https://ror.org/028rypz17}
Université Pierre et Marie Curie,Paris,France,Sorbonne Université {https://ror.org/02en5vm52}
Université Pierre Mendès France,Grenoble,France,Pierre Mendès-France University {https://ror.org/02f7wz369}
Université Polytechnique Hauts-de-France,Aulnoy-lez-Valenciennes,France,Polytechnic University of Hauts-de-France {https://ror.org/02ezch769}
Université Rennes 2,Rennes,France,University of Rennes 2 {https://ror.org/01m84wm78}
Université Stendhal,Saint-Martin-d'Hères,France,Stendhal University {https://ror.org/03yppfm65}
Université Toulouse - Jean Jaurès,Toulouse,France,Université Toulouse - Jean Jaurès {https://ror.org/04ezk3x31}
Université Toulouse 1 - Capitole,Toulouse,France,Toulouse 1 Capitole University {https://ror.org/0443n9e75}
accadis Hochschule Bad Homburg (Priv. FH),Bad Homburg,Germany,Accadis Hochschule Bad Homburg {https://ror.org/015a98c38}
Akademie der Polizei Hamburg,Hamburg,Germany,Akademie der Polizei Hamburg {https://ror.org/05tn39y33}
Albert-Ludwigs-Universität Freiburg,Freiburg im Breisgau,Germany,University of Freiburg {https://ror.org/0245cg223}
Allensbach Hochschule,Konstanz,Germany,Allensbach University {https://ror.org/00x67g916}
Bergische Universität Wuppertal,Wuppertal,Germany,University of Wuppertal {https://ror.org/00613ak93}
Beuth Hochschule für Technik Berlin,Berlin,Germany,Berliner Hochschule für Technik {https://ror.org/00w7whj55}
Deutsche Sporthochschule Köln,Cologne,Germany,German Sport University Cologne {https://ror.org/0189raq88}
Deutsche Universität für Verwaltungswissenschaften Speyer,Speyer,Germany,German University of Administrative Sciences {https://ror.org/01d30w739}
DIPLOMA Hochschule,Bückeburg,Germany,Diploma Hochschule {https://ror.org/051rc7j94}
DIU-Dresden Intern. University GmbH Dresden (Priv. H),Dresden,Germany,Dresden International University {https://ror.org/01t4pxy10}
"Duale Hochschule Baden Württemberg, Stuttgart (FH)",Stuttgart,Germany,Baden-Wuerttemberg Cooperative State University {https://ror.org/02xdzy536}
Duale Hochschule Gera-Eisenach (FH),Gera,Germany,Duale Hochschule Gera-Eisenach {https://ror.org/03t7jd518}
