ORG,CITY,COUNTRY,label
Offenburg University,Offenburg,Germany,Offenburg University of Applied Sciences {https://ror.org/03zh5eq96}
Ostwestfalen-Lippe University of Applied Sciences,Lemgo,Germany,Ostwestfalen-Lippe University of Applied Sciences and Arts {https://ror.org/04eka8j06}
Academy of fine arts of Lecce,Lecce,Italy,Accademia di Belle Arti di Lecce {https://ror.org/05fp0vp37}
University of Milano-Bicocca,Milano,Italy,University of Milano-Bicocca {https://ror.org/01ynf4891}
"Military Technical Academy ""Ferdinand I""",Bucharest,Romania,Military Technical Academy {https://ror.org/01tqmsq19}
"Academy of Film & Multimedia ""Marubi""",Tirana,Albania,Academy of Film & Multimedia “MARUBI” {https://ror.org/05rjmhp95}
Albanian University,Tirana,Albania,Albanian University {https://ror.org/02f8a6404}
"""Aleksandër Moisiu"" University of Durrës",Durrës,Albania,Aleksandër Moisiu University {https://ror.org/023p15505}
"""EPOKA"" University",Tirana,Albania,Epoka University {https://ror.org/04xgcc957}
Agricultural University of Tirana,Tirana,Albania,Agricultural University of Tirana {https://ror.org/03k793y62}
"University of Elbasan, Aleksander Xhuvani",Elbasan,Albania,University of Elbasan {https://ror.org/03c19jm06}
University of Tirana,Tirana,Albania,University of Tirana {https://ror.org/03g9v2404}
"""Ismail Qemali"" University of Vlora",Vlorë,Albania,University of Vlorë {https://ror.org/05ger6s34}
Catholic University Lady of Good Counsel,Tirana,Albania,Catholic University Our Lady of Good Counsel {https://ror.org/01qgdf403}
Luarasi University,Tirana,Albania,Luarasi University {https://ror.org/05qwfk367}
Polytechnic University of Tirana,Tirana,Albania,Polytechnic University of Tirana {https://ror.org/05aec4025}
University of Andorra,Sant Julià de Lòria,Andorra,University of Andorra {https://ror.org/00w7mf142}
La Salle Open University,La Massana,Andorra,
Academy of Fine Arts Vienna,Vienna,Austria,Academy of Fine Arts Vienna {https://ror.org/029djt864}
Danube Private University,Krems an der Donau,Austria,Danube Private University {https://ror.org/054ebrh70}
FH Campus Wien - University of Applied Sciences,Vienna,Austria,FH Campus Wien {https://ror.org/003f4pg83}
Carinthia University of Applied Sciences,Spittal an der Drau,Austria,Carinthia University of Applied Sciences {https://ror.org/036w00e23}
University of Applied Sciences St. Pölten,St. Pölten,Austria,St. Pölten University of Applied Sciences {https://ror.org/039a2re55}
University of Applied Sciences Joanneum,Graz,Austria,FH JOANNEUM University of Applied Sciences {https://ror.org/03kkbqm48}
University of Applied Sciences Upper Austria,Wels,Austria,University of Applied Sciences Upper Austria {https://ror.org/03jqp6d56}
Kufstein University of Applied Sciences,Kufstein,Austria,University of Applied Sciences Kufstein {https://ror.org/04r1x2k35}
Paracelsus Medical University,Salzburg,Austria,Paracelsus Medical University {https://ror.org/03z3mg085}
Private University College of Education of the Diocese of Linz,Linz,Austria,Private University College of Education of the Diocese of Linz {https://ror.org/00wb8n271}
Graz University of Technology,Graz,Austria,Graz University of Technology {https://ror.org/00d7xrm67}
Vienna University of Technology,Vienna,Austria,TU Wien {https://ror.org/04d836q62}
University of Applied Arts Vienna,Vienna,Austria,University of Applied Arts Vienna {https://ror.org/05yjy4360}
University of Music and Dramatic Arts Mozarteum Salzburg,Salzburg,Austria,Mozarteum University of Salzburg {https://ror.org/00tfmqe91}
Arts² Academy of Arts,Mons,Belgium,Arts² {https://ror.org/00tf9x563}
Royal Conservatoire of Brussels,Brussels,Belgium,Royal Conservatory of Brussels {https://ror.org/033wswd35}
Conservatoire royal de Liège,Liège,Belgium,Royal Conservatory of Liège {https://ror.org/01zb1m871}
La Cambre,Brussels,Belgium,La Cambre {https://ror.org/00y3r0391}
Superior School of Circus Arts,Anderlecht,Belgium,Superior School of Circus Arts {https://ror.org/03khyar38}
ESA Saint-Luc Liège,Liège,Belgium,École Supérieure des Arts Saint-Luc de Liège {https://ror.org/02zwsc421}
Erasmus University College Brussels,Anderlecht,Belgium,Erasmus University College Brussels {https://ror.org/01767d733}
Haute Ecole Albert Jacquard,Namur,Belgium,Haute École Albert Jacquard {https://ror.org/00zx7z876}
ICHEC Brussels Management School - ECAM Business Engineering school - ISFSC,Brussels,Belgium,Brussels Management School {https://ror.org/01kdhhd16}
HELMo University College,Liège,Belgium,Haute École Libre Mosane {https://ror.org/052x1x555}
HEPH-Condorcet,Mons,Belgium,Haute École Provinciale de Hainaut Condorcet {https://ror.org/02a22tx41}
Karel de Grote University College,Antwerp,Belgium,Karel de Grote University College {https://ror.org/05acs9g96}
Leuven University College,Leuven,Belgium,
UCLouvain,Louvain-La-Neuve,Belgium,Université Catholique de Louvain {https://ror.org/02495e989}
University of Liège,Liège,Belgium,University of Liège {https://ror.org/00afp2z80}
University of Mons,Mons,Belgium,University of Mons {https://ror.org/02qnnz951}
University of Namur,Namur,Belgium,University of Namur {https://ror.org/03d1maw17}
Varna University of Management,Dobrich,Bulgaria,Varna University of Management {https://ror.org/01xaxtt28}
University of Security and Economics,Plovdiv,Bulgaria,University of Security and Economics {https://ror.org/03athrm05}
University of Forestry,Sofia,Bulgaria,University of Forestry {https://ror.org/033t8gt11}
Medical University - Pleven,Pleven,Bulgaria,Medical University Pleven {https://ror.org/049ztct72}
Sofia University St. Kliment Ohridski,Sofia,Bulgaria,Sofia University {https://ror.org/02jv3k292}
Technical University of Varna,Varna,Bulgaria,Technical University of Varna {https://ror.org/03zrwm897}
Technical University of Gabrovo,Gabrovo,Bulgaria,Technical University of Gabrovo {https://ror.org/028d5by70}
State University of Library Studies and Information Technologies,Sofia,Bulgaria,University of Library Studies and Information Technologies {https://ror.org/001nkz398}
University of Food Technologies – Plovdiv,Plovdiv,Bulgaria,University of Food Technologies {https://ror.org/0014fb593}
Libertas International University,Zagreb,Croatia,Dubrovnik International University {https://ror.org/03wz5pw26}
Rochester Institute of Technology Croatia,Dubrovnik,Croatia,Rochester Institute of Technology Croatia {https://ror.org/03jgxzm03}
Juraj Dobrila University of Pula,Pula,Croatia,Juraj Dobrila University of Pula {https://ror.org/006ks2460}
University North,Koprivnica,Croatia,University North {https://ror.org/01afbkc02}
University of Zadar,Zadar,Croatia,University of Zadar {https://ror.org/00t89vb53}
University of Zagreb,Zagreb,Croatia,University of Zagreb {https://ror.org/00mv6sv71}
Polytechnic of Šibenik,Šibenik,Croatia,Polytechnics of Šibenik {https://ror.org/04sv2e820}
University of Applied Sciences Velika Gorica,Velika Gorica,Croatia,Veleučilište Velika Gorica {https://ror.org/035ghve61}
"Vern University of Applied Sciences, Zagreb",Zagreb,Croatia,Vern University of Applied Sciences {https://ror.org/00mff5m03}
Technical college in Bjelovar,Bjelovar,Croatia,
Open University of Cyprus,Latsia,Cyprus,Open University of Cyprus {https://ror.org/033sm2k57}
Frederick University,Nicosia,Cyprus,Frederick University {https://ror.org/05d8tf882}
Brno International Business School,Brno,Czech Republic,Brno International Business School {https://ror.org/03mv3zz84}
"Czech University of Life Sciences, Prague",Prague,Czech Republic,Czech University of Life Sciences Prague {https://ror.org/0415vcw02}
CEVRO Institute /School of Political Studies,Prague,Czech Republic,CEVRO Institute {https://ror.org/01pg7ze09}
Film Academy of Miroslav Ondříček in Písek,Písek,Czech Republic,Film Academy of Miroslav Ondříček {https://ror.org/00jdhb158}
Masaryk University,Brno,Czech Republic,Masaryk University {https://ror.org/02j46qs45}
Mendel University in Brno,Brno,Czech Republic,Mendel University in Brno {https://ror.org/058aeep47}
University of Ostrava,Ostrava,Czech Republic,University of Ostrava {https://ror.org/00pyqav47}
University of Hradec Králové,Hradec Králové,Czech Republic,University of Hradec Králové {https://ror.org/05k238v14}
University of Finance and Administration,Prague,Czech Republic,University of Finance and Administration {https://ror.org/020ydms54}
Aalborg University,Aalborg,Denmark,Aalborg University {https://ror.org/04m5j1k67}
Aarhus University,Aarhus,Denmark,Aarhus University {https://ror.org/01aj84f44}
Technical University of Denmark,Lyngby,Denmark,Technical University of Denmark {https://ror.org/04qtj9h94}
The Independent Academy for Free School Teaching,Vester Skerninge,Denmark,
Design School Kolding,Kolding,Denmark,Design School Kolding {https://ror.org/00a736592}
The Royal Academy of Music,Aarhus,Denmark,Royal Academy of Music {https://ror.org/01jvdtb95}
The Royal Danish Academy of Music,Frederiksberg,Denmark,Royal Danish Academy of Music {https://ror.org/04np6eb38}
Business Academy Aarhus,Viby,Denmark,Business Academy Aarhus {https://ror.org/055dvgm08}
Business Academy of higher education MidWest (in Danish),Herning,Denmark,Erhvervsakademi MidtVest {https://ror.org/02v5cy890}
Copenhagen Business School,Frederiksberg,Denmark,Copenhagen Business School {https://ror.org/04sppb023}
IT University of Copenhagen,Copenhagen,Denmark,IT University of Copenhagen {https://ror.org/02309jg23}
The Copenhagen School of Design and Technology,Copenhagen,Denmark,Copenhagen School of Design and Technology {https://ror.org/00j1xwp39}
University College Copenhagen,Copenhagen,Denmark,University College Copenhagen {https://ror.org/004r9h172}
University of Copenhagen,Copenhagen,Denmark,University of Copenhagen {https://ror.org/035b05819}
MARTEC - Maritime and Polytechnic College,Frederikshavn,Denmark,
University College of Northern Denmark,Hjørring,Denmark,University College of Northern Denmark {https://ror.org/056c4z730}
Roskilde University,Roskilde,Denmark,Roskilde University {https://ror.org/014axpa37}
Rhythmic Music Conservatory,Copenhagen,Denmark,Rhythmic Music Conservatory {https://ror.org/059qxqp56}
Danish National Academy of Music,Odense,Denmark,Danish National Academy of Music {https://ror.org/04zbzhb67}
University College South Denmark,Esbjerg,Denmark,University College South Denmark {https://ror.org/058q57q63}
VIA University College,Risskov,Denmark,VIA University College {https://ror.org/04ctbxy49}
Estonian School of Hotel and Tourism Management,Tallinn,Estonia,
The Estonian Information Technology College,Tallinn,Estonia,Estonian Information Technology College {https://ror.org/040zb1w28}
Baltic Methodist Theological Seminar,Tallinn,Estonia,Baltic Methodist Theological Seminary {https://ror.org/035dn9148}
Estonian Academy of Music and Theatre,Tallinn,Estonia,Estonian Academy of Music and Theatre {https://ror.org/046p0fc17}
Estonian Business School,Tallinn,Estonia,Estonian Business School {https://ror.org/04e67ap71}
Euroacademy,Tallinn,Estonia,EuroAcademy {https://ror.org/02hb34304}
Pallas University of Applied Sciences,Tartu,Estonia,Tartu Art College {https://ror.org/03sx66s94}
Lääne-Viru College,Mõdriku,Estonia,Lääne-Viru College {https://ror.org/01c9ma830}
Tallinn University of Technology,Tallinn,Estonia,Tallinn University of Technology {https://ror.org/0443cwa12}
Tartu Art College,Tartu,Estonia,Tartu Art College {https://ror.org/03sx66s94}
University of Tartu,Tartu,Estonia,University of Tartu {https://ror.org/03z77qz90}
Aalto University,Espoo,Finland,Aalto University {https://ror.org/020hwjq30}
Åbo Akademi University,Turku,Finland,Åbo Akademi University {https://ror.org/029pk6x14}
Åland University of Applied Sciences,Maarianhamina - Mariehamn,Finland,Åland University of Applied Sciences {https://ror.org/05mknbx32}
Humanities University of Applied Sciences,Helsinki,Finland,Humak University of Applied Sciences {https://ror.org/000rak666}
Kajaani Polytechnic,Kajaani,Finland,Kajaani University of Applied Sciences {https://ror.org/02ec8mb70}
Karelia Polytechnic,Joensuu,Finland,Karelia University of Applied Sciences {https://ror.org/00db2vc28}
University of Lapland,Rovaniemi,Finland,University of Lapland {https://ror.org/05jzt8766}
Lappeenranta-Lahti University of Technology (LUT University),Lappeenranta,Finland,Lappeenranta-Lahti University of Technology {https://ror.org/0208vgz68}
Police University college,Tampere,Finland,Police University College {https://ror.org/04wkq2s46}
Tampere University of Applied Sciences,Tampere,Finland,Tampere University of Applied Sciences {https://ror.org/00bwtjf83}
Tampere University of Technology,Tampere,Finland,Tampere University of Technology {https://ror.org/02ba3pt07}
Arcada University of Applied Sciences,Helsinki,Finland,Arcada University of Applied Sciences {https://ror.org/02s466x84}
Novia Polytechnic,Vaasa,Finland,Novia University of Applied Sciences {https://ror.org/05e08rb26}
Aix-Marseille University,Marseille,France,Aix-Marseille University {https://ror.org/035xkbk20}
University Center of Mayotte,Dembéni,France,
EMLV Business School,Courbevoie,France,
IFP School,Rueil-Malmaison,France,IFP Énergies nouvelles {https://ror.org/03gcbhc33}
ESIEE Amiens,Amiens,France,UniLaSalle Amiens (ESIEE-Amiens) {https://ror.org/03r13py57}
ESCP Europe Business School,Paris,France,ESCP Business School {https://ror.org/040hhjv66}
Grenoble institute of technology,Grenoble,France,Grenoble Institute of Technology {https://ror.org/05sbt2524}
Institut d’Optique Graduate School,Palaiseau,France,Institut d’Optique Graduate School {https://ror.org/00d0rke27}
National Polytechnic Institute of Toulouse,Toulouse,France,National Polytechnic Institute of Toulouse {https://ror.org/033p9g875}
University of Western Brittany,Brest,France,Université de Bretagne Occidentale {https://ror.org/01b8h3982}
University of Southern Brittany,Lorient,France,University of Southern Brittany {https://ror.org/04ed7fw48}
University of Caen Lower Normandy,Caen,France,Université de Caen Normandie {https://ror.org/051kpcy16}
Grenoble University,Saint-Martin-d'Hères,France,Université Grenoble Alpes {https://ror.org/02rx3b187}
University of French Guiana,Cayenne,France,University of French Guiana {https://ror.org/00nb39k71}
University of Upper Alsace,Mulhouse,France,University of Upper Alsace {https://ror.org/04k8k6n84}
University of French Polynesia,Punaauia,France,University of French Polynesia {https://ror.org/03ay59x86}
University of Perpignan,Perpignan,France,University of Perpignan {https://ror.org/03am2jy38}
University of Poitiers,Poitiers,France,University of Poitiers {https://ror.org/04xhy8q59}
University of Reims Champagne-Ardenne,Reims,France,University of Reims Champagne-Ardenne {https://ror.org/03hypw319}
University of Savoy Mont Blanc,Chambéry,France,Université Savoie Mont Blanc {https://ror.org/04gqg1a07}
University of technology of Belfort-Montbéliard,Sevenans,France,University of Technology of Belfort-Montbéliard {https://ror.org/05bn3m307}
University of Tours,Tours,France,Université de Tours {https://ror.org/02wwzvj46}
Versailles Saint-Quentin-en-Yvelines University,Versailles,France,Université de Versailles Saint-Quentin-en-Yvelines {https://ror.org/03mkjjy25}
University of Le Havre,Le Havre,France,University of Le Havre {https://ror.org/05v509s40}
University of Maine,Le Mans,France,Le Mans Université {https://ror.org/01mtcc283}
University of Montpellier 1,Montpellier,France,University of Montpellier 1 {https://ror.org/0227fbx80}
Montpellier 2 University,Montpellier,France,University of Montpellier 2 {https://ror.org/00wh4bp03}
"Paul Valéry University, Montpellier 3",Montpellier,France,Université Paul-Valéry Montpellier {https://ror.org/00qhdy563}
University of Nice Sophia Antipolis,Nice,France,Nice Sophia Antipolis University {https://ror.org/02k9vew78}
Paris 13 University,Villetaneuse,France,Université Sorbonne Paris Nord {https://ror.org/0199hds37}
Paris 8 University,Saint-Denis,France,Paris 8 University {https://ror.org/04wez5e68}
University of Paris,Paris,France,Université Paris Cité {https://ror.org/05f82e368}
Paris Descartes University,Paris,France,Paris Descartes University {https://ror.org/0220k9r37}
Paris Diderot University,Paris,France,Paris Diderot University {https://ror.org/02n7qrg46}
University Paris Nanterre,Nanterre,France,Université Paris Nanterre {https://ror.org/013bkhk48}
Paris West University Nanterre La Défense,Nanterre,France,Université Paris Nanterre {https://ror.org/013bkhk48}
PSL Research University,Paris,France,Université Paris Sciences et Lettres {https://ror.org/013cjyk83}
Paris Dauphine University,Paris,France,Université Paris Dauphine-PSL {https://ror.org/052bz7812}
Paris 12 Val de Marne University,Créteil,France,Université Paris-Est Créteil {https://ror.org/05ggc9x40}
University of Marne la Vallée,Champs-sur-Marne,France,University of Marne la Vallée {https://ror.org/02aqt9c37}
Universisty Paris-Saclay,Gif-sur-Yvette,France,University of Paris-Saclay {https://ror.org/03xjwb503}
Paris-Sorbonne University,Paris,France,Sorbonne Université {https://ror.org/02en5vm52}
University of Paris-Sud,Orsay,France,University of Paris-Sud {https://ror.org/028rypz17}
Pierre and Marie Curie University,Paris,France,Sorbonne Université {https://ror.org/02en5vm52}
Pierre Mendès-France University,Grenoble,France,Pierre Mendès-France University {https://ror.org/02f7wz369}
University of Rennes 2 – Upper Brittany,Rennes,France,University of Rennes 2 {https://ror.org/01m84wm78}
Stendhal University,Saint-Martin-d'Hères,France,Stendhal University {https://ror.org/03yppfm65}
University of Toulouse II - Jean Jaurès,Toulouse,France,Université Toulouse - Jean Jaurès {https://ror.org/04ezk3x31}
Toulouse 1 University Capitole,Toulouse,France,Toulouse 1 Capitole University {https://ror.org/0443n9e75}
accadis Hochschule Bad Homburg (Priv. FH),Bad Homburg,Germany,Accadis Hochschule Bad Homburg {https://ror.org/015a98c38}
Akademie der Polizei Hamburg,Hamburg,Germany,Akademie der Polizei Hamburg {https://ror.org/05tn39y33}
University of Freiburg,Freiburg im Breisgau,Germany,University of Freiburg {https://ror.org/0245cg223}
Allensbach University,Konstanz,Germany,Allensbach University {https://ror.org/00x67g916}
University of Wuppertal,Wuppertal,Germany,University of Wuppertal {https://ror.org/00613ak93}
Beuth University of Applied Sciences,Berlin,Germany,Berliner Hochschule für Technik {https://ror.org/00w7whj55}
German Sport University Cologne,Cologne,Germany,German Sport University Cologne {https://ror.org/0189raq88}
German University of Administrative Sciences Speyer,Speyer,Germany,German University of Administrative Sciences {https://ror.org/01d30w739}
DIPLOMA Hochschule,Bückeburg,Germany,Diploma Hochschule {https://ror.org/051rc7j94}
Dresden International University GmbH,Dresden,Germany,Dresden International University {https://ror.org/01t4pxy10}
Baden-Wuerttemberg Cooperative State University,Stuttgart,Germany,Baden-Wuerttemberg Cooperative State University {https://ror.org/02xdzy536}
Fachhochschule der Diakonie Bielefeld-Bethel,Bielefeld,Germany,Fachhochschule der Diakonie {https://ror.org/00yvfbm89}
Stralsund University of Applied Sciences,Stralsund,Germany,University of Applied Sciences Stralsund {https://ror.org/04g99jx54}
Georg August Göttingen University,Göttingen,Germany,University of Göttingen {https://ror.org/01y9bpm73}
Handelshochschule Leipzig (Priv. H),Leipzig,Germany,HHL Leipzig Graduate School of Management {https://ror.org/00vjd4k74}
Hamburg University of Applied Sciences,Hamburg,Germany,HAW Hamburg {https://ror.org/00fkqwx76}
Hof University of Applied Sciences,Hof,Germany,Hof University of Applied Sciences {https://ror.org/04q5vv384}
University of Music Würzburg,Würzburg,Germany,University of Music Würzburg {https://ror.org/05m1pqv80}
University of Applied Sciences Mittweida,Mittweida,Germany,Hochschule Mittweida {https://ror.org/024ga3r86}
Niederrhein University of Applied Sciences,Mönchengladbach,Germany,Hochschule Niederrhein {https://ror.org/027b9qx26}
Nordhausen University of Applied Sciences,Nordhausen,Germany,Nordhausen University of Applied Sciences {https://ror.org/04nbz6d36}
Osnabrück University of Applied Sciences,Osnabrück,Germany,Hochschule Osnabrück {https://ror.org/059vymd37}
Pforzheim University,Pforzheim,Germany,Pforzheim University of Applied Sciences {https://ror.org/00qakfc35}
Reutlingen University,Reutlingen,Germany,Reutlingen University {https://ror.org/00q644y50}
RheinMain University of Applied Sciences,Wiesbaden,Germany,RheinMain University of Applied Sciences {https://ror.org/0378gm372}
Ruhr West University of Applied Sciences,Mülheim an der Ruhr,Germany,Ruhr West University of Applied Sciences {https://ror.org/02nkxrq89}
University of Applied Sciences Schmalkalden,Schmalkalden,Germany,Schmalkalden University of Applied Sciences {https://ror.org/02nq4wt82}
"Wismar University of Applied Sciences Technology, Business and Design",Wismar,Germany,University of Wismar {https://ror.org/00s1ckt27}
Worms University of Applied Sciences,Worms,Germany,University of Applied Sciences Worms {https://ror.org/031ph8d53}
Technische Universität Bergakademie Freiberg,Freiberg,Germany,TU Bergakademie Freiberg {https://ror.org/031vc2293}
Technical University of Berlin,Berlin,Germany,Technische Universität Berlin {https://ror.org/03v4gjf40}
University of Augsburg,Augsburg,Germany,University of Augsburg {https://ror.org/03p14d497}
Bielefeld University,Bielefeld,Germany,Bielefeld University {https://ror.org/02hpadn98}
University of Bremen,Bremen,Germany,University of Bremen {https://ror.org/04ers2y35}
Higher Ecclesiastical Academy Of Thessalonica,Thessaloniki,Greece,
Athens School of Fine Arts,Athens,Greece,Athens School of Fine Arts {https://ror.org/01rk3xf02}
School of Pedagogical and Technological Education,Athens,Greece,School of Pedagogical and Technological Education {https://ror.org/04v3r9z94}
Piraeus University of Applied Sciences (Technological Education Institute of Piraeus),Aigaleo,Greece,Technological Educational Institute of Piraeus {https://ror.org/00ks0ea23}
Technological Educational Institute of Eastern Macedonia & Thrace,Kavala,Greece,Technological Educational Institute of Eastern Macedonia and Thrace {https://ror.org/0009xxz90}
Agricultural University of Athens,Athens,Greece,Agricultural University of Athens {https://ror.org/03xawq568}
"""The Gate of the Teaching"" Buddhist College",Budapest,Hungary,Dharma Gate Buddhist College {https://ror.org/0111cdx62}
John von Neumann University,Kecskemét,Hungary,John von Neumann University {https://ror.org/03n9qzd79}
University of Pécs,Pécs,Hungary,University of Pecs {https://ror.org/037b5pv06}
"Dún Laoghaire Institute of Art, Design and Technology",Dún Laoghaire,Ireland,"Dún Laoghaire Institute of Art, Design and Technology {https://ror.org/02dk7c653}"
"Institute of Technology, Carlow",Carlow,Ireland,Institute of Technology Carlow {https://ror.org/02frwys47}
"National University of Ireland, Maynooth",Maynooth,Ireland,"National University of Ireland, Maynooth {https://ror.org/048nfjm95}"
"Academy of fine arts ""Mario Sironi"" - Sassari",Sassari,Italy,Accademia di Belle Arti di Sassari {https://ror.org/029q6vx61}
Academy of fine arts of Bari,Bari,Italy,Academy of Fine Arts of Bari {https://ror.org/04vh8f825}
Academy of fine arts of Bologna,Bologna,Italy,Accademia di Belle Arti di Bologna {https://ror.org/04rqr4m92}
Academy of fine arts of Catanzaro,Catanzaro,Italy,Accademia di Belle Arti di Catanzaro {https://ror.org/0459rb715}
Academy of fine arts of Firenze,Firenze,Italy,Accademia di Belle Arti di Firenze {https://ror.org/01ym43775}
Academy of fine arts of Frosinone,Frosinone,Italy,Accademia di Belle Arti di Frosinone {https://ror.org/03ekjqb98}
"Academy of fine arts of Milano ""Brera""",Milano,Italy,Brera Academy {https://ror.org/00rfy7667}
Academy of fine arts of Napoli,Naples,Italy,Accademia di Belle Arti di Napoli {https://ror.org/01xk4y863}
Academy of fine arts of Palermo,Palermo,Italy,Accademia di Belle Arti di Palermo {https://ror.org/03en4zh39}
"Academy of fine arts of Torino ""Albertina""",Torino,Italy,Accademia Albertina delle Belle Arti {https://ror.org/00se00q44}
"Free Academy of fine arts of VITERBO ""Lorenzo da Viterbo""",Viterbo,Italy,
"National Academy of Drama ""Silvio D'Amico""",Rome,Italy,Silvio d'Amico National Academy of Dramatic Arts {https://ror.org/03q8zdw85}
National Dance Academy,Rome,Italy,National Academy of Dance {https://ror.org/018g0vw88}
"Music Conservatory of L'AQUILA ""Alfredo Casella""",L'Aquila,Italy,Conservatorio statale di Musica Alfredo Casella {https://ror.org/04p175r34}
"Music Conservatory of POTENZA ""Gesualdo da Venosa""",Potenza,Italy,Conservatorio di Musica Carlo Gesualdo da Venosa Potenza {https://ror.org/00r8emz85}
University of Campania Luigi Vanvitelli,Caserta,Italy,"University of Campania ""Luigi Vanvitelli"" {https://ror.org/02kqnpp86}"
University of Bari Aldo Moro,Bari,Italy,University of Bari Aldo Moro {https://ror.org/027ynra39}
University of Bergamo,Bergamo,Italy,University of Bergamo {https://ror.org/02mbd5571}
University of Bologna,Bologna,Italy,University of Bologna {https://ror.org/01111rn36}
University of Brescia,Brescia,Italy,University of Brescia {https://ror.org/02q2d2610}
University of Macerata,Macerata,Italy,University of Macerata {https://ror.org/0001fmy77}
University of Messina,Messina,Italy,University of Messina {https://ror.org/05ctdxz19}
University of Milan,Milano,Italy,University of Milan {https://ror.org/00wjc7c48}
University of Modena and Reggio Emilia (UNIMORE),Modena,Italy,University of Modena and Reggio Emilia {https://ror.org/02d4c4y02}
University of Naples Federico II,Naples,Italy,University of Naples Federico II {https://ror.org/05290cv24}
"""Orientale"" University of Naples",Naples,Italy,University of Naples - L'Orientale {https://ror.org/01q9h8k89}
"University of Naples ""Parthenope""",Naples,Italy,Parthenope University of Naples {https://ror.org/05pcv4v03}
University of Teramo,Teramo,Italy,University of Teramo {https://ror.org/01yetye73}
University of Turin,Torino,Italy,University of Turin {https://ror.org/048tbm396}
University of Trento,Trento,Italy,University of Trento {https://ror.org/05trd4x28}
University of Udine,Udine,Italy,University of Udine {https://ror.org/05ht0mh31}
University of Urbino Carlo Bo,Urbino,Italy,University of Urbino {https://ror.org/04q4kt073}
University of Verona,Verona,Italy,University of Verona {https://ror.org/039bp8j42}
Ventspils University College,Ventspils,Latvia,Ventspils University of Applied Sciences {https://ror.org/03sc6wx59}
Hanze University of Applied Sciences,Groningen,Netherlands,Hanze University of Applied Sciences {https://ror.org/00xqtxw43}
HAS University of Applied Sciences,’s-Hertogenbosch,Netherlands,HAS University of Applied Sciences {https://ror.org/05p706d77}
NHL University of Applied Sciences,Leeuwarden,Netherlands,NHL University of Applied Sciences {https://ror.org/05m4jv490}
NHL Stenden University of Applied Sciences,Leeuwarden,Netherlands,NHL Stenden University of Applied Sciences {https://ror.org/02xgxme97}
BI Norwegian Business School,Oslo,Norway,BI Norwegian Business School {https://ror.org/03ez40v33}
University of Agder,Kristiansand,Norway,University of Agder {https://ror.org/03x297z98}
Academy of Finance and Business Vistula,Warszawa,Poland,Vistula University {https://ror.org/044sqta95}
Ignatium Academy in Cracow,Kraków,Poland,Jesuit University Ignatianum {https://ror.org/009j14p05}
Jan Długosz University in Częstochowa,Częstochowa,Poland,Jan Długosz University {https://ror.org/0566yhn94}
Adam Mickiewicz University in Poznań,Poznań,Poland,Adam Mickiewicz University in Poznań {https://ror.org/04g6bbq64}
Air Force Academy,Sintra,Portugal,Portuguese Air Force Academy {https://ror.org/045hg4108}
Military Academy,Lisboa,Portugal,Portuguese Military Academy {https://ror.org/0245c5212}
